,sample_id,posneg,testcontrol,NCT_num,PMID,F03_pmid_aggmax,F01_authors_authtree,F16_titleabs_propoccurance,F13_titleabs_tsimunw_tms,F13_titleabs_tsimunw_scr,F13_titleabs_tsimw_tms,F13_titleabs_tsimw_scr,F24_mesh_meshsim,F31_authors_authtree,F30_abstract_occurance,FTA_ta_allcaps_mismatch,F25_mesh_meshsim,F33_grants_occurance,F29_grants_occurance,F15_titleabs_propoccurance,F02_titleabs_allcaps,F13_chemicals_reverseoccur,F27_abstract_occurance,F30_cn_occurance,F09_titleabs_occurance,F10_titleabs_occurance,F36_authors_authtree,startdate_lift,start_diff_lt5,start_diff_cast,authcomp,agginvint,prob,Trial Results,NCT Link,rank,keep
NCT03745053:22169682,0,0,0,NCT03745053,22169682,0.09689158751116735,0.0,-0.5,191,3400.89878,334,6065.56905,0.285332373297017,,-0.5,0,0.0,0,0.0,-0.5,0,0.25,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07696819489208465,no,no,986,0
NCT03745053:18412270,0,0,0,NCT03745053,18412270,0.09689158751116735,0.0,-0.5,217,3736.95377,382,6699.29637,0.285332373297017,,-0.5,0,0.0,0,0.0,0.5,0,0.0,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07691687233503378,no,no,987,0
NCT03745053:26258723,0,0,0,NCT03745053,26258723,0.21963305911017436,0.0,-0.5,232,3895.41289,409,6974.90505,0.285332373297017,,-0.5,0,1.0769230769230769,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07681244265564857,no,no,988,0
NCT03745053:24680246,0,0,0,NCT03745053,24680246,0.14455864030802415,0.0,-0.5,205,1825.88885,358,3263.54182,0.285332373297017,,0.0,1,1.2,0,0.0,-0.5,0,0.123653040492693,0.0,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.0767636648370967,no,no,989,0
NCT03745053:18679382,0,0,0,NCT03745053,18679382,0.15126420847911967,0.0,-0.5,215,3688.96445,372,6531.54018,0.285332373297017,,-0.5,1,1.0833333333333333,0,0.0,0.5,0,0.3333333333333333,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07675689721755,no,no,990,0
NCT03745053:12478234,0,0,0,NCT03745053,12478234,0.14455864030802415,0.0,-0.5,237,3938.41742,417,7048.31061,0.285332373297017,,-0.5,0,0.0,0,0.0,0.5,0,0.123653040492693,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07666548129834498,no,no,991,0
NCT03745053:15981554,0,0,0,NCT03745053,15981554,0.21963305911017436,0.0,-0.5,183,1767.74764,327,3204.43698,0.285332373297017,,0.0,0,0.0,0,0.0,-0.5,0,0.0,0.0,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07653684027240641,no,no,992,0
NCT03745053:28797412,0,0,0,NCT03745053,28797412,0.14455864030802415,0.0,-0.5,173,3028.83271,309,5556.66657,0.285332373297017,,-0.5,0,1.0833333333333333,0,0.0,-0.5,0,0.123653040492693,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07650350673353343,no,no,993,0
NCT03745053:28728650,0,0,0,NCT03745053,28728650,0.09689158751116735,0.0,-0.5,233,3903.74642,407,6955.38954,0.285332373297017,,-0.5,0,1.0769230769230769,0,0.0,-0.5,0,0.0,-0.5,0.0,-0.5,-0.5,,0.0,0,0,0.0,0.236849605005533,0.07648510212968239,no,no,994,0
NCT03745053:12109864,0,0,0,NCT03745053,12109864,0.14455864030802415,0.0,-0.5,110,2088.49949,189,3719.37382,0.285332373297017,,-0.5,0,1.1111111111111112,0,0.0,-0.5,0,0.123653040492693,-0.5,0.0,-0.5,0.5,,0.0,0,0,0.0,0.236849605005533,0.07647238159169872,no,no,995,0
